Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",94.532500,-69.030000,0.000000,top
"C2","100nF","C_0805_2012Metric",94.532500,-72.040000,0.000000,top
"C3","100nF","C_0805_2012Metric",94.532500,-75.050000,0.000000,top
"C4","100nF","C_0805_2012Metric",94.532500,-78.060000,0.000000,top
"C5","100nF","C_0805_2012Metric",98.982500,-69.030000,0.000000,top
"C6","12pF","C_0805_2012Metric",98.982500,-72.040000,0.000000,top
"C7","12pF","C_0805_2012Metric",98.982500,-75.050000,0.000000,top
"C8","100nF","C_0805_2012Metric",98.982500,-78.060000,0.000000,top
"C9","15pF","C_0805_2012Metric",103.432500,-69.030000,0.000000,top
"C10","15pF","C_0805_2012Metric",103.432500,-72.040000,0.000000,top
"C11","100nF","C_0805_2012Metric",103.432500,-75.050000,0.000000,top
"C12","100nF","C_0805_2012Metric",103.432500,-78.060000,0.000000,top
"C13","100nF","C_0805_2012Metric",107.882500,-69.030000,0.000000,top
"C14","100nF","C_0805_2012Metric",107.882500,-72.040000,0.000000,top
"C17","1uF","C_0805_2012Metric",107.882500,-75.050000,0.000000,top
"C19","2.2uF","C_0805_2012Metric",107.882500,-78.060000,0.000000,top
"D1","LED_GREEN","LED_0805_2012Metric",104.902500,-91.165000,0.000000,top
"D2","LED_RED","LED_0805_2012Metric",104.902500,-94.205000,0.000000,top
"D3","BAT54C","SOT-23",109.552500,-96.520000,0.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",98.152500,-84.940000,0.000000,top
"J2","PINHD_1x4_Male","PinHeader_1x04_P2.54mm_Vertical",88.782500,-82.900000,0.000000,top
"L1","10uH ±10%","L_0805_2012Metric",99.632500,-97.790000,0.000000,top
"R1","10k","R_0805_2012Metric",84.252500,-69.000000,0.000000,top
"R2","10k","R_0805_2012Metric",84.252500,-71.950000,0.000000,top
"R3","5.1k","R_0805_2012Metric",84.252500,-74.900000,0.000000,top
"R4","0","R_0805_2012Metric",84.252500,-77.850000,0.000000,top
"R5","5.1k","R_0805_2012Metric",84.252500,-80.800000,0.000000,top
"R6","10","R_0805_2012Metric",84.252500,-83.750000,0.000000,top
"R7","10","R_0805_2012Metric",84.252500,-86.700000,0.000000,top
"R8","1k","R_0805_2012Metric",84.252500,-89.650000,0.000000,top
"SW1","Push_Button","SW_SPST_B3U-1000P",89.382500,-69.700000,0.000000,top
"SW2","Push_Button","SW_SPST_B3U-1000P",89.382500,-74.050000,0.000000,top
"SW3","Push_Button","SW_SPST_B3U-1000P",89.382500,-78.400000,0.000000,top
"U1","STM32F401CEUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",108.642500,-84.210000,0.000000,top
"U6","AP7343-30W5-7","SOT95P285X145-5N",109.938312,-91.970000,0.000000,top
"U8","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",97.482500,-93.030000,0.000000,top
"Y1","32.768KHz ±20ppm 12.5pF","Crystal_SMD_3215-2Pin_3.2x1.5mm",94.832500,-98.090000,0.000000,top
"Y3","25MHZ 9PF","Crystal_SMD_3225-4Pin_3.2x2.5mm",89.082500,-95.050000,0.000000,top
