"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10,C9";"C_0805_2012Metric";2;"15pF";;;
2;"C8,C4,C12,C13,C11,C14,C3,C5,C2";"C_0805_2012Metric";9;"100nF";;;
3;"R8";"R_0805_2012Metric";1;"1k";;;
4;"U6";"SOT95P285X145-5N";1;"AP7343-30W5-7";;;
5;"R2,R1";"R_0805_2012Metric";2;"10k";;;
6;"C6,C7";"C_0805_2012Metric";2;"12pF";;;
7;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768KHz ±20ppm 12.5pF";;;
8;"D1";"LED_0805_2012Metric";1;"LED_GREEN";;;
9;"C17,C1";"C_0805_2012Metric";2;"1uF";;;
10;"R6,R7";"R_0805_2012Metric";2;"10";;;
11;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle";;;
12;"L1";"L_0805_2012Metric";1;"10uH ±10%";;;
13;"D2";"LED_0805_2012Metric";1;"LED_RED";;;
14;"R5,R3";"R_0805_2012Metric";2;"5.1k";;;
15;"SW2,SW1,SW3";"SW_SPST_B3U-1000P";3;"Push_Button";;;
16;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32F401CEUx";;;
17;"R4";"R_0805_2012Metric";1;"0";;;
18;"U8";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q32JVSS";;;
19;"Y3";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"25MHZ 9PF";;;
20;"D3";"SOT-23";1;"BAT54C";;;
21;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"PINHD_1x4_Male";;;
22;"C19";"C_0805_2012Metric";1;"2.2uF";;;
